,filename,height,width
247,sleeping face_top_left.jpg,36,36
248,shushing face_top_left.jpg,36,36
249,shushing face_top_left.jpg,36,36
250,shushing face_top_left.jpg,36,36
251,shushing face_top_left.jpg,36,36
252,hot face_top_left.jpg,36,36
253,hot face_top_left.jpg,36,36
254,hot face_top_left.jpg,36,36
255,hot face_top_left.jpg,36,36
256,zipper-mouth face_top_left.jpg,36,36
257,zipper-mouth face_top_left.jpg,36,36
258,zipper-mouth face_top_left.jpg,36,36
259,zipper-mouth face_top_left.jpg,36,36
260,star-struck_top_left.jpg,36,36
261,star-struck_top_left.jpg,36,36
262,star-struck_top_left.jpg,36,36
263,star-struck_top_left.jpg,36,36
264,hushed face_top_left.jpg,36,36
265,hushed face_top_left.jpg,36,36
266,hushed face_top_left.jpg,36,36
267,hushed face_top_left.jpg,36,36
268,downcast face with sweat_top_left.jpg,36,36
269,downcast face with sweat_top_left.jpg,36,36
270,downcast face with sweat_top_left.jpg,36,36
271,downcast face with sweat_top_left.jpg,36,36
272,persevering face_top_left.jpg,36,36
273,persevering face_top_left.jpg,36,36
274,persevering face_top_left.jpg,36,36
275,persevering face_top_left.jpg,36,36
276,expressionless face_top_left.jpg,36,36
277,expressionless face_top_left.jpg,36,36
278,expressionless face_top_left.jpg,36,36
279,expressionless face_top_left.jpg,36,36
280,rolling on the floor laughing_top_left.jpg,36,36
281,rolling on the floor laughing_top_left.jpg,36,36
282,rolling on the floor laughing_top_left.jpg,36,36
283,rolling on the floor laughing_top_left.jpg,36,36
284,face with raised eyebrow_top_left.jpg,36,36
285,face with raised eyebrow_top_left.jpg,36,36
286,face with raised eyebrow_top_left.jpg,36,36
287,face with raised eyebrow_top_left.jpg,36,36
288,face with head-bandage_top_left.jpg,36,36
289,face with head-bandage_top_left.jpg,36,36
290,face with head-bandage_top_left.jpg,36,36
291,face with head-bandage_top_left.jpg,36,36
292,kissing face with smiling eyes_top_left.jpg,36,36
293,kissing face with smiling eyes_top_left.jpg,36,36
294,kissing face with smiling eyes_top_left.jpg,36,36
295,kissing face with smiling eyes_top_left.jpg,36,36
296,dizzy face_top_left.jpg,36,36
297,dizzy face_top_left.jpg,36,36
298,dizzy face_top_left.jpg,36,36
299,dizzy face_top_left.jpg,36,36
300,relieved face_top_left.jpg,36,36
301,relieved face_top_left.jpg,36,36
302,relieved face_top_left.jpg,36,36
303,relieved face_top_left.jpg,36,36
304,nauseated face_top_left.jpg,36,36
305,nauseated face_top_left.jpg,36,36
306,nauseated face_top_left.jpg,36,36
307,nauseated face_top_left.jpg,36,36
308,face vomiting_top_left.jpg,36,36
309,face vomiting_top_left.jpg,36,36
310,face vomiting_top_left.jpg,36,36
311,face vomiting_top_left.jpg,36,36
312,money-mouth face_top_left.jpg,36,36
313,money-mouth face_top_left.jpg,36,36
314,money-mouth face_top_left.jpg,36,36
315,money-mouth face_top_left.jpg,36,36
316,kissing face with closed eyes_top_left.jpg,36,36
317,kissing face with closed eyes_top_left.jpg,36,36
318,kissing face with closed eyes_top_left.jpg,36,36
319,kissing face with closed eyes_top_left.jpg,36,36
320,disappointed face_top_left.jpg,36,36
321,disappointed face_top_left.jpg,36,36
322,disappointed face_top_left.jpg,36,36
323,disappointed face_top_left.jpg,36,36
324,astonished face_top_left.jpg,36,36
325,astonished face_top_left.jpg,36,36
326,astonished face_top_left.jpg,36,36
327,astonished face_top_left.jpg,36,36
328,slightly smiling face_top_left.jpg,36,36
329,slightly smiling face_top_left.jpg,36,36
330,slightly smiling face_top_left.jpg,36,36
331,slightly smiling face_top_left.jpg,36,36
332,crying face_top_left.jpg,36,36
333,crying face_top_left.jpg,36,36
334,crying face_top_left.jpg,36,36
335,crying face_top_left.jpg,36,36
336,confounded face_top_left.jpg,36,36
337,confounded face_top_left.jpg,36,36
338,confounded face_top_left.jpg,36,36
339,confounded face_top_left.jpg,36,36
340,face screaming in fear_top_left.jpg,36,36
341,face screaming in fear_top_left.jpg,36,36
342,face screaming in fear_top_left.jpg,36,36
343,face screaming in fear_top_left.jpg,36,36
344,thinking face_top_left.jpg,36,36
345,thinking face_top_left.jpg,36,36
346,thinking face_top_left.jpg,36,36
347,thinking face_top_left.jpg,36,36
348,zany face_top_left.jpg,36,36
349,zany face_top_left.jpg,36,36
350,zany face_top_left.jpg,36,36
351,zany face_top_left.jpg,36,36
352,kissing face_top_left.jpg,36,36
353,kissing face_top_left.jpg,36,36
354,kissing face_top_left.jpg,36,36
355,kissing face_top_left.jpg,36,36
356,drooling face_top_left.jpg,36,36
357,drooling face_top_left.jpg,36,36
358,drooling face_top_left.jpg,36,36
359,drooling face_top_left.jpg,36,36
