,filename,height,width
223,grinning face with sweat_bottom_right.jpg,36,36
224,face with thermometer_top_left.jpg,36,36
225,face with thermometer_top_right.jpg,36,36
226,face with thermometer_bottom_left.jpg,36,36
227,face with thermometer_bottom_right.jpg,36,36
228,face blowing a kiss_top_left.jpg,36,36
229,face blowing a kiss_top_right.jpg,36,36
230,face blowing a kiss_bottom_left.jpg,36,36
231,face blowing a kiss_bottom_right.jpg,36,36
232,face savoring food_top_left.jpg,36,36
233,face savoring food_top_right.jpg,36,36
234,face savoring food_bottom_left.jpg,36,36
235,face savoring food_bottom_right.jpg,36,36
236,grinning squinting face_top_left.jpg,36,36
237,grinning squinting face_top_right.jpg,36,36
238,grinning squinting face_bottom_left.jpg,36,36
239,grinning squinting face_bottom_right.jpg,36,36
240,smiling face with hearts_top_left.jpg,36,36
241,smiling face with hearts_top_right.jpg,36,36
242,smiling face with hearts_bottom_left.jpg,36,36
243,smiling face with hearts_bottom_right.jpg,36,36
244,hushed face_top_left.jpg,36,36
245,hushed face_top_right.jpg,36,36
246,hushed face_bottom_left.jpg,36,36
247,hushed face_bottom_right.jpg,36,36
248,nerd face_top_left.jpg,36,36
249,nerd face_top_right.jpg,36,36
250,nerd face_bottom_left.jpg,36,36
251,nerd face_bottom_right.jpg,36,36
252,partying face_top_left.jpg,36,36
253,partying face_top_right.jpg,36,36
254,partying face_bottom_left.jpg,36,36
255,partying face_bottom_right.jpg,36,36
256,persevering face_top_left.jpg,36,36
257,persevering face_top_right.jpg,36,36
258,persevering face_bottom_left.jpg,36,36
259,persevering face_bottom_right.jpg,36,36
260,smiling face with smiling eyes_top_left.jpg,36,36
261,smiling face with smiling eyes_top_right.jpg,36,36
262,smiling face with smiling eyes_bottom_left.jpg,36,36
263,smiling face with smiling eyes_bottom_right.jpg,36,36
264,shushing face_top_left.jpg,36,36
265,shushing face_top_right.jpg,36,36
266,shushing face_bottom_left.jpg,36,36
267,shushing face_bottom_right.jpg,36,36
268,money-mouth face_top_left.jpg,36,36
269,money-mouth face_top_right.jpg,36,36
270,money-mouth face_bottom_left.jpg,36,36
271,money-mouth face_bottom_right.jpg,36,36
272,face with symbols on mouth_top_left.jpg,36,36
273,face with symbols on mouth_top_right.jpg,36,36
274,face with symbols on mouth_bottom_left.jpg,36,36
275,face with symbols on mouth_bottom_right.jpg,36,36
276,expressionless face_top_left.jpg,36,36
277,expressionless face_top_right.jpg,36,36
278,expressionless face_bottom_left.jpg,36,36
279,expressionless face_bottom_right.jpg,36,36
280,relieved face_top_left.jpg,36,36
281,relieved face_top_right.jpg,36,36
282,relieved face_bottom_left.jpg,36,36
283,relieved face_bottom_right.jpg,36,36
284,unamused face_top_left.jpg,36,36
285,unamused face_top_right.jpg,36,36
286,unamused face_bottom_left.jpg,36,36
287,unamused face_bottom_right.jpg,36,36
288,face with medical mask_top_left.jpg,36,36
289,face with medical mask_top_right.jpg,36,36
290,face with medical mask_bottom_left.jpg,36,36
291,face with medical mask_bottom_right.jpg,36,36
292,woozy face_top_left.jpg,36,36
293,woozy face_top_right.jpg,36,36
294,woozy face_bottom_left.jpg,36,36
295,woozy face_bottom_right.jpg,36,36
296,lying face_top_left.jpg,36,36
297,lying face_top_right.jpg,36,36
298,lying face_bottom_left.jpg,36,36
299,lying face_bottom_right.jpg,36,36
300,face with tears of joy_top_left.jpg,36,36
301,face with tears of joy_top_right.jpg,36,36
302,face with tears of joy_bottom_left.jpg,36,36
303,face with tears of joy_bottom_right.jpg,36,36
304,grinning face with big eyes_top_left.jpg,36,36
305,grinning face with big eyes_top_right.jpg,36,36
306,grinning face with big eyes_bottom_left.jpg,36,36
307,grinning face with big eyes_bottom_right.jpg,36,36
308,weary face_top_left.jpg,36,36
309,weary face_top_right.jpg,36,36
310,weary face_bottom_left.jpg,36,36
311,weary face_bottom_right.jpg,36,36
312,sleepy face_top_left.jpg,36,36
313,sleepy face_top_right.jpg,36,36
314,sleepy face_bottom_left.jpg,36,36
315,sleepy face_bottom_right.jpg,36,36
316,face with rolling eyes_top_left.jpg,36,36
317,face with rolling eyes_top_right.jpg,36,36
318,face with rolling eyes_bottom_left.jpg,36,36
319,face with rolling eyes_bottom_right.jpg,36,36
320,upside-down face_top_left.jpg,36,36
321,upside-down face_top_right.jpg,36,36
322,upside-down face_bottom_left.jpg,36,36
323,upside-down face_bottom_right.jpg,36,36
324,kissing face_top_left.jpg,36,36
325,kissing face_top_right.jpg,36,36
326,kissing face_bottom_left.jpg,36,36
327,kissing face_bottom_right.jpg,36,36
328,drooling face_top_left.jpg,36,36
329,drooling face_top_right.jpg,36,36
330,drooling face_bottom_left.jpg,36,36
331,drooling face_bottom_right.jpg,36,36
332,fearful face_top_left.jpg,36,36
333,fearful face_top_right.jpg,36,36
334,fearful face_bottom_left.jpg,36,36
335,fearful face_bottom_right.jpg,36,36
336,angry face_top_left.jpg,36,36
337,angry face_top_right.jpg,36,36
338,angry face_bottom_left.jpg,36,36
339,angry face_bottom_right.jpg,36,36
340,zipper-mouth face_top_left.jpg,36,36
341,zipper-mouth face_top_right.jpg,36,36
342,zipper-mouth face_bottom_left.jpg,36,36
343,zipper-mouth face_bottom_right.jpg,36,36
344,zany face_top_left.jpg,36,36
345,zany face_top_right.jpg,36,36
346,zany face_bottom_left.jpg,36,36
347,zany face_bottom_right.jpg,36,36
348,face with steam from nose_top_left.jpg,36,36
349,face with steam from nose_top_right.jpg,36,36
350,face with steam from nose_bottom_left.jpg,36,36
351,face with steam from nose_bottom_right.jpg,36,36
352,kissing face with smiling eyes_top_left.jpg,36,36
353,kissing face with smiling eyes_top_right.jpg,36,36
354,kissing face with smiling eyes_bottom_left.jpg,36,36
355,kissing face with smiling eyes_bottom_right.jpg,36,36
356,pensive face_top_left.jpg,36,36
357,pensive face_top_right.jpg,36,36
358,pensive face_bottom_left.jpg,36,36
359,pensive face_bottom_right.jpg,36,36
